,index,City Name,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind-Speed,Wind-Direction
0,1172,Santa Cruz Del Sur,cu,20.71,-78,78.64,100,56,6.76,98.502
1,1936,Swift Current,ca,50.29,-107.8,80.6,30,1,23.04,290
2,694,Puerto Baquerizo Moreno,ec,-0.9,-89.6,77,83,90,13.87,160
3,1466,North Myrtle Beach,us,33.83,-78.68,81.68,74,1,8.05,170
4,1674,Port Hawkesbury,ca,45.62,-61.36,57.2,76,90,14.99,260
5,1271,Xiongzhou,cn,32.34,118.83,66.2,100,90,4.47,340
6,1117,Bago,mm,17.34,96.48,78.8,83,75,4.7,250
7,1440,Chaman,pk,30.92,66.45,51.46,33,0,3.96,228.502
8,1217,Aswan,eg,24.09,32.9,95,15,0,8.05,40
9,927,Dire Dawa,et,9.59,41.86,59.02,83,0,4.97,166.502
10,686,Samarinda,id,-0.5,117.14,73.96,100,56,2.17,290.002
11,1634,Glossa,gr,35.47,23.78,68,82,20,4.97,8.00201
12,521,Kaniama,cd,-7.57,24.18,70.45,51,0,3.51,146.002
13,727,Bontang,id,0.12,117.47,77.56,100,88,5.41,136.002
14,1095,Nouakchott,mr,18.08,-15.98,68.56,96,0,20.74,325.002
15,1078,Bolitoc,ph,15.74,119.88,76.03,100,12,3.85,105.002
16,423,Montepuez,mz,-13.13,39,66.76,75,0,5.08,108.502
17,313,Opuwo,na,-18.06,13.84,53.62,49,0,4.18,123.002
18,19,Saint-Philippe,re,-21.36,55.77,73.51,64,0,6.93,40
19,56,San Carlos De Bariloche,ar,-41.13,-71.31,60.8,23,40,24.16,310
20,279,Sao Jose Do Calcado,br,-21.03,-41.65,65.14,88,92,4.52,115.002
21,1654,Yuza,jp,39.05,139.95,56.32,93,24,3.96,247.002
22,1234,Taitung,tw,22.76,121.15,73.6,100,20,8.43,232.502
23,1917,Ulaangom,mn,49.98,92.07,26.53,78,8,3.18,268.502
24,888,Kavaratti,in,10.57,72.64,87.19,96,88,22.97,333.002
25,182,Danielskuil,za,-28.19,23.54,42.73,74,0,2.62,239.002
26,974,Aden,ye,12.79,45.03,86.38,93,0,3.74,344.502
27,1334,Tabuk,sa,28.38,36.58,84.2,14,20,3.36,50
28,559,Lugoba,tz,-6.46,38.33,72.88,91,76,2.62,203.502
29,1791,Bradesti,ro,44.48,23.63,60.8,82,32,4.7,250
30,1826,Cloquet,us,46.72,-92.46,85.98,28,40,13.87,250
31,673,Lastoursville,ga,-0.81,12.73,72.88,95,12,2.06,299.502
32,2189,Bakchar,ru,57.02,82.07,34.54,84,44,4.97,345.002
33,615,Lufilufi,ws,-13.87,-171.6,82.33,100,32,20.85,86.502
34,1319,Villa Union,mx,23.2,-106.23,87.8,43,5,10.29,240
35,1955,Marianske Lazne,cz,49.96,12.7,58.5,93,0,2.24,170
36,725,Sri Aman,my,1.24,111.46,77,100,92,2.51,159.502
37,2203,Okhotsk,ru,59.36,143.24,42.73,82,20,3.4,87.502
38,2090,Kurumkan,ru,54.33,110.32,46.24,51,88,3.4,123.502
39,989,Sulangan,ph,11.14,123.72,85.57,100,56,13.8,84.502
40,1374,Tacoronte,es,28.48,-16.41,62.19,87,75,18.34,310
41,441,Iberia,pe,-11.41,-69.49,81.34,65,0,2.17,112.502
42,1026,Bang Phae,th,13.69,99.93,78.19,85,92,2.95,266.002
43,1993,Outlook,ca,51.48,-107.04,78.73,45,0,18.61,295.502
44,1824,Bismarck,us,46.81,-100.78,88.75,27,40,24.16,250
45,1831,Labelle,ca,46.28,-74.73,74.14,63,92,7.65,263.002
46,2211,Stornoway,gb,58.21,-6.39,50,87,20,24.16,60
47,232,Saint-Louis,re,-21.27,55.42,73.58,64,0,6.93,40
48,1570,Timizart,dz,36.8,4.25,69.28,52,0,0.72,195.502
49,1260,Bari Sadri,in,24.42,74.48,82.96,30,0,9.55,262.502
50,2147,Taksimo,ru,56.36,114.84,35.71,82,0,2.51,131.502
51,1928,Petropavlovsk-Kamchatskiy,ru,53.05,158.65,39.2,93,90,4.47,120
52,1976,Kosh-Agach,ru,49.99,88.66,20.14,87,36,2.84,188.502
53,802,Male,mv,4.17,73.51,84.2,74,75,10.29,310
54,565,Kalianget,id,-7.74,113.68,73.24,100,32,4.29,176.502
55,251,Georgetown,sh,-7.93,-14.42,79.45,100,80,14.36,108.002
56,1847,Vultureni,ro,46.4,27.27,66.2,68,0,5.82,340
57,2225,Soligalich,ru,59.08,42.29,39.31,76,0,2.95,45.502
58,1372,Merritt Island,us,28.54,-80.67,81.84,78,75,11.41,150
59,2399,Bilibino,ru,68.06,166.44,40.48,82,0,3.18,98.002
60,2135,Sladkovo,ru,55.53,70.34,42.64,90,92,13.35,84.002
61,1735,Baranain,es,42.81,-1.68,63.93,82,20,5.82,280
62,280,Namibe,ao,-15.19,12.15,70.72,100,0,5.75,180.002
63,322,Le Port,re,-20.94,55.29,73.29,69,40,16.11,130
64,829,Obuasi,gh,6.21,-1.69,75.85,91,12,7.31,200.002
65,237,Voh,nc,-20.95,164.69,71.26,100,92,11.9,103.502
66,1085,Tlacolula,mx,16.95,-96.48,82.51,30,76,3.29,69.002
67,961,Siguiri,gn,11.42,-9.17,73.06,90,68,6.98,200.002
68,1682,Tempio Pausania,it,40.9,9.1,64.6,82,0,4.7,30
69,2394,Deputatskiy,ru,69.3,139.9,31.39,98,88,3.74,175.502
70,1755,Kant,kg,42.89,74.85,31.84,72,0,1.83,163.502
71,1719,Jerome,us,34.75,-112.11,77.32,9,1,10.29,220
72,1090,Black River,jm,18.03,-77.85,84.2,79,75,11.41,70
73,1503,Winslow,us,35.02,-110.7,91.4,5,1,17.22,200
74,826,Praia,cv,14.92,-23.51,71.6,68,20,17.22,30
75,1003,Kita,ml,13.04,-9.49,83.05,55,32,2.17,294.002
76,2233,Salym,ru,60.06,71.48,34.81,69,64,6.76,44.502
77,1052,Sokolo,ml,14.74,-6.12,87.46,48,12,4.41,214.502
78,1378,Mizdah,ly,31.45,12.98,73.24,38,0,8.55,62.002
79,820,Puerto Carreno,co,6.19,-67.49,75.2,100,75,9.17,40
80,1267,Dali,cn,25.6,100.24,56.23,100,8,1.72,216.502
81,1812,Spasskoye,ru,55.86,45.7,44.53,56,0,9.55,24.502
82,1369,Jennings,us,38.72,-90.26,79.99,54,75,17.22,220
83,2378,Umba,ru,66.69,34.34,48.76,69,0,9.78,132.002
84,328,Townsville,au,-19.26,146.82,66.2,82,92,5.82,200
85,1404,Severo-Kurilsk,ru,50.68,156.12,36.79,98,92,8.66,106.002
86,1056,Tanout,ne,14.97,8.88,91.51,18,88,6.2,95.002
87,111,Port Macquarie,au,-31.43,152.91,53.6,100,90,6.93,270
88,1825,Wahpeton,us,46.27,-96.61,89.15,19,40,10.29,290
89,406,Ayacucho,pe,-13.16,-74.23,75.2,57,40,8.05,10
90,552,Loandjili,cg,-4.77,11.87,77,83,20,3.36,290
91,1108,Najran,sa,17.54,44.22,84.2,16,20,6.93,80
92,2024,Esil,kz,51.96,66.41,58.39,76,44,6.98,33.002
93,1141,Nouadhibou,mr,20.93,-17.03,66.2,72,0,18.34,350
94,1345,Kathmandu,np,27.71,85.32,69.8,88,75,3.36,140
95,671,Takoradi,gh,4.89,-1.75,79.72,100,48,7.99,222.002
96,35,Esperance,au,-33.86,121.89,61.54,57,24,26.33,323.002
97,771,Tarakan,id,3.3,117.63,77.29,100,64,3.51,290.502
98,108,Murray Bridge,au,-35.12,139.28,49.75,100,24,14.47,26.502
99,777,Ixtapa,mx,20.71,-105.21,87.37,44,0,2.95,288.002
100,1896,Rennes,fr,48.11,-1.68,58.51,88,36,3.36,110
101,1495,Dafeng,cn,33.2,120.46,64.24,100,92,7.99,52.502
102,1881,Hibbing,us,47.43,-92.94,83.89,37,40,16.11,280
103,2055,Thompson,ca,55.74,-97.86,51.8,53,75,13.87,80
104,1206,Kahului,us,20.89,-156.47,79.97,65,20,21.92,40
